Date,CpuAllocation,CpuLimit,CpuUsed,MemoryAllocation,MemoryLimit,MemoryUsed
1362096000,45000,45000,37180,225280,225280,219136
1362117600,45000,45000,37180,225280,225280,219136
1362139200,45000,45000,36525.775,225280,225280,214709.19111111
1362160800,45000,45000,35202.712037037,225280,225280,205781.1437037
1362182400,45000,45000,37180,225280,225280,219136
1362204000,45000,45000,37180,225280,225280,219136
1362225600,45000,45000,37180,225280,225280,219136
1362247200,45000,45000,37180,225280,225280,219136
1362268800,45000,45000,37180,225280,225280,219136
1362290400,NAN,NAN,NAN,NAN,NAN,NAN
1362312000,NAN,NAN,NAN,NAN,NAN,NAN
1362333600,NAN,NAN,NAN,NAN,NAN,NAN
1362355200,NAN,NAN,NAN,NAN,NAN,NAN
1362376800,NAN,NAN,NAN,NAN,NAN,NAN
1362398400,45000,45000,37180,225280,225280,219136
1362420000,45000,45000,26083.681481481,225280,225280,175433.5762963
1362441600,45000,45000,31746.962962963,225280,225280,197738.19259259
1362463200,45000,45000,31980,225280,225280,198656
1362484800,45000,45000,27729.288888889,225280,225280,181914.73777778
1362506400,83115.777777778,83115.777777778,26090.22962963,226700.32592593,226700.32592593,175459.36592593
1362528000,319800,319800,34580,235520,235520,208896
1362549600,319800,319800,34580,235520,235520,208896
1362571200,319800,319800,29763.788888889,235520,235520,189927.53777778
1362592800,319800,319800,28605.151851852,235520,235520,180811.14074074
1362614400,319800,319800,26260,235520,235520,158720
1362636000,319800,319800,26260,235520,235520,158720
1362657600,319800,319800,22336.47254902,235520,235520,143267.33803922
1362679200,319800,319800,16380,235520,235520,119808
1362700800,319800,319800,16380,235520,235520,119808
1362722400,319800,319800,16380,235520,235520,119808
1362744000,319800,319800,18879.611111111,235520,235520,140156.96592593
1362765600,319800,319800,16946.751851852,235520,235520,127626.24
1362787200,319800,319800,25220,235520,235520,188416
1362808800,319800,319800,25220,235520,235520,188416
1362830400,319800,319800,25220,235520,235520,188416
1362852000,319800,319800,25220,235520,235520,188416
1362873600,319800,319800,25220,235520,235520,188416
1362895200,319800,319800,25220,235520,235520,188416
1362916800,319800,319800,25220,235520,235520,188416
1362938400,319800,319800,25220,235520,235520,188416
1362960000,319800,319800,25220,235520,235520,188416
1362981600,319800,319800,25220,235520,235520,188416
1363003200,319800,319800,27220.868518519,235520,235520,196296.3437037
1363024800,319800,319800,29900,235520,235520,206848
1363046400,319800,319800,29900,235520,235520,206848
1363068000,319800,319800,29900,235520,235520,206848
1363089600,319800,319800,29900,235520,235520,206848
1363111200,319800,319800,29900,235520,235520,206848
1363132800,319800,319800,35041.259259259,235520,235520,227096.65185185
1363154400,319800,319800,35100,235520,235520,227328
1363176000,319800,319800,35100,235520,235520,227328
1363197600,319800,319800,35100,235520,235520,227328
1363219200,319800,319800,35100,235520,235520,227328
1363240800,319800,319800,35100,235520,235520,227328
1363262400,319800,319800,35076.937037037,235520,235520,227237.16740741
1363284000,319800,319800,35100,235520,235520,227328
1363305600,319800,319800,35100,235520,235520,227328
1363327200,319800,319800,35100,235520,235520,227328
1363348800,319800,319800,35100,235520,235520,227328
1363370400,319800,319800,35100,235520,235520,227328
1363392000,319800,319800,35100,235520,235520,227328
1363413600,319800,319800,35100,235520,235520,227328
1363435200,319800,319800,35100,235520,235520,227328
1363456800,319800,319800,35100,235520,235520,227328
1363478400,319800,319800,35100,235520,235520,227328
1363500000,319800,319800,35100,235520,235520,227328
1363521600,319800,319800,35100,235520,235520,227328
1363543200,319800,319800,35100,235520,235520,227328
1363564800,319800,319800,35100,235520,235520,227328
1363586400,319800,319800,35100,235520,235520,227328
1363608000,319800,319800,35100,235520,235520,227328
1363629600,319800,319800,35100,235520,235520,227328
1363651200,319800,319800,35100,235520,235520,227328
1363672800,319800,319800,35100,235520,235520,227328
1363694400,319800,319800,35100,235520,235520,227328
1363716000,332967.55555556,332967.55555556,35453.768518519,244163.31851852,244163.31851852,228109.98518519
1363737600,351000,351000,36140,256000,256000,229504
1363759200,351000,351000,36140,256000,256000,229504
1363780800,351000,351000,36140,256000,256000,229504
1363802400,351000,351000,36596.227777778,256000,256000,230412.33185185
1363824000,351000,351000,37180,256000,256000,231680
1363845600,351000,351000,37180,256000,256000,231680
1363867200,351000,351000,37180,256000,256000,231680
1363888800,351000,351000,37180,256000,256000,231680
1363910400,351000,351000,37180,256000,256000,231680
1363932000,351000,351000,37180,256000,256000,231680
1363953600,351000,351000,37180,256000,256000,231680
1363975200,351000,351000,37206,256000,256000,232718.4
1363996800,351000,351000,36660,256000,256000,233472
1364018400,351000,351000,36660,256000,256000,233472
1364040000,351000,351000,36660,256000,256000,233472
1364061600,351000,351000,36660,256000,256000,233472
1364083200,NAN,NAN,NAN,NAN,NAN,NAN
1364104800,NAN,NAN,NAN,NAN,NAN,NAN
1364126400,NAN,NAN,NAN,NAN,NAN,NAN
1364148000,NAN,NAN,NAN,NAN,NAN,NAN
1364169600,NAN,NAN,NAN,NAN,NAN,NAN
1364191200,NAN,NAN,NAN,NAN,NAN,NAN
1364212800,NAN,NAN,NAN,NAN,NAN,NAN
1364234400,351000,351000,36660,256000,256000,233472
1364256000,351000,351000,36660,256000,256000,233472
1364277600,351000,351000,36660,256000,256000,233472
1364299200,351000,351000,36660,256000,256000,233472
1364320800,351000,351000,36463.435185185,256000,256000,232697.83703704
1364342400,351000,351000,24700,256000,256000,186368
1364364000,351000,351000,24700,256000,256000,186368
1364385600,351000,351000,26784.790740741,256000,256000,194578.86814815
1364407200,351000,351000,29784.456481481,256000,256000,205920.80592593
1364428800,351000,351000,29900,256000,256000,206848
1364450400,351000,351000,29900,256000,256000,206848
1364472000,351000,351000,29900,256000,256000,206848
1364493600,351000,351000,29900,256000,256000,206848
1364515200,351000,351000,29900,256000,256000,206848
1364536800,351000,351000,29900,256000,256000,206848
1364558400,351000,351000,29900,256000,256000,206848
1364580000,351000,351000,29900,256000,256000,206848
1364601600,351000,351000,29900,256000,256000,206848
1364623200,351000,351000,29900,256000,256000,206848
1364644800,351000,351000,29900,256000,256000,206848
1364666400,351000,351000,29900,256000,256000,206848
1364688000,351000,351000,29900,256000,256000,206848
1364709600,351000,351000,29900,256000,256000,206848
1364731200,351000,351000,29900,256000,256000,206848
1364752800,351000,351000,29900,256000,256000,206848
1364774400,351000,351000,29900,256000,256000,206848
